lgcode,pref,city,domain,spf,spf_policy,dmarc,dmarc_policy,mx,mx_spf,mx_spf_policy,mx_dmarc,mx_dmarc_policy
016641,北海道,標茶町,town.shibecha.hokkaido.jp,True,relax,False,,shibecha.marimo.jp,False,,False,
016659,北海道,弟子屈町,town.teshikaga.hokkaido.jp,True,relax,False,,town.teshikaga.hokkaido.jp,True,relax,False,
016675,北海道,鶴居村,vill.tsurui.lg.jp,True,relax,False,,mail.vill.tsurui.lg.jp,False,,False,
016683,北海道,白糠町,town.shiranuka.lg.jp,True,relax,False,,relay.town.shiranuka.lg.jp,False,,False,
016918,北海道,別海町,betsukai.jp,True,relax,True,relax,relay.betsukai.jp,False,,False,
016926,北海道,中標津町,nakashibetsu.jp,True,strict,False,,relay.nakashibetsu.jp,False,,False,
016934,北海道,標津町,shibetsutown.jp,True,relax,False,,relay.shibetsutown.jp,False,,False,
016942,北海道,羅臼町,rausu-town.jp,True,strict,False,,relay.rausu-town.jp,False,,False,
022012,青森県,青森市,city.aomori.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
022021,青森県,弘前市,city.hirosaki.aomori.jp,True,relax,False,,mail.city.hirosaki.aomori.jp,False,,False,
022039,青森県,八戸市,city.hachinohe.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
022047,青森県,黒石市,city.kuroishi.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
022055,青森県,五所川原市,city.goshogawara.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
022063,青森県,十和田市,city.towada.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
022071,青森県,三沢市,city.misawa.lg.jp,False,,False,,,,,,
022080,青森県,むつ市,city.mutsu.lg.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
022098,青森県,つがる市,city.tsugaru.aomori.jp,True,relax,False,,sc02-mail01.sbt-isc.jp,False,,False,
